company_id,paper_id,symbol,paper_type_he,identifier_status,identifier_reason,identifier_api,identifier_success,logo_exists,logo_status,logo_reason,logo_api,logo_success
20384794,675017,AVER,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20384794/logos,1
882653,686014,MEDN,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/882653/logos,1
882843,694034,ELCO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/882843/logos,1
874625,695437,MZTF,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/874625/logos,1
882870,699017,PTBL,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/882870/logos,1
873701,691212,DSCT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/873701/logos,1
5773940,704015,EXPO,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5773940/logos,1
883173,715011,AZRM,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/883173/logos,1
20344776,716019,CTPL1,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20344776,716035,CTPL5,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
20359014,720011,ENLT,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/20359014/logos,1
N/A,723007,NSTR,מניה,FAILED,HTTP 404,,0,no,,,,
5604059,730010,ZUR,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
5554389,731018,MLTH,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/5554389/logos,1
1076846,739037,ELTR,מניה,SKIPPED,already exists,,1,yes,SUCCESS,,https://rest.bridgewise.com/companies/1076846/logos,1
2909271,744011,GIX,מניה,SKIPPED,already exists,,1,yes,FAILED,HTTP 404,,0
